Temporada,Jornada,Equipo,Jugador,Estado,Cambio,Gol,Amarilla,Roja,Asistencia,Lesion
Temporada2019,Jornada 2,Juventus,W. Szczęsny,Titular,,0,0,0,0,0
Temporada2019,Jornada 2,Juventus,G. Chiellini,Titular,,0,0,0,0,0
Temporada2019,Jornada 2,Juventus,L. Bonucci,Titular,,0,0,0,0,0
Temporada2019,Jornada 2,Juventus,Alex Sandro,Titular,,0,1,0,0,0
Temporada2019,Jornada 2,Juventus,J. Cancelo,Titular,,0,0,0,0,0
Temporada2019,Jornada 2,Juventus,S. Khedira,Titular,85,0,0,0,0,0
Temporada2019,Jornada 2,Juventus,B. Matuidi,Titular,,0,0,0,0,0
Temporada2019,Jornada 2,Juventus,M. Pjanić,Titular,69,1,0,0,0,0
Temporada2019,Jornada 2,Juventus,M. Mandžukić,Titular,,1,0,0,0,0
Temporada2019,Jornada 2,Juventus,C. Ronaldo,Titular,,0,0,0,1,0
Temporada2019,Jornada 2,Juventus,F. Bernardeschi,Titular,60,0,0,0,0,0
Temporada2019,Jornada 2,Juventus,C. Pinsoglio,Suplente,,0,0,0,0,0
Temporada2019,Jornada 2,Juventus,M. Perin,Suplente,,0,0,0,0,0
Temporada2019,Jornada 2,Juventus,D. Rugani,Suplente,,0,0,0,0,0
Temporada2019,Jornada 2,Juventus,A. Barzagli,Suplente,,0,0,0,0,0
Temporada2019,Jornada 2,Juventus,R. Bentancur,Suplente,85,0,0,0,0,0
Temporada2019,Jornada 2,Juventus,E. Can,Suplente,69,0,1,0,0,0
Temporada2019,Jornada 2,Juventus,D. Costa,Suplente,60,0,1,0,0,0
Temporada2019,Jornada 2,Juventus,P. Dybala,Suplente,,0,0,0,0,0
Temporada2019,Jornada 2,Juventus,J. Cuadrado,Suplente,,0,0,0,0,0
Temporada2019,Jornada 2,Juventus,M. Cáceres,Suplente,,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,T. Strakosha,Titular,,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,F. Acerbi,Titular,,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,S. Radu,Titular,,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,Wallace,Titular,,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,Lucas Leiva,Titular,,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,S. Milinkovic-Savic,Titular,79,0,1,0,0,0
Temporada2019,Jornada 2,Lazio,M. Parolo,Titular,65,0,1,0,0,0
Temporada2019,Jornada 2,Lazio,S. Lulić,Titular,,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,A. Marušić,Titular,,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,Luis Alberto,Titular,65,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,C. Immobile,Titular,,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,G. Guerrieri,Suplente,,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,S. Proto,Suplente,,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,Q. Bastos,Suplente,,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,R. Durmisi,Suplente,79,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,D. Basta,Suplente,,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,D. Cataldi,Suplente,,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,M. Badelj,Suplente,65,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,J. Correa,Suplente,65,0,0,0,0,0
Temporada2019,Jornada 2,Lazio,F. Caicedo,Suplente,,0,0,0,0,0
Temporada2019,Jornada 15,Juventus,W. Szczęsny,Titular,,0,0,0,0,0
Temporada2019,Jornada 15,Juventus,G. Chiellini,Titular,,0,0,0,0,0
Temporada2019,Jornada 15,Juventus,L. Bonucci,Titular,,0,0,0,0,0
Temporada2019,Jornada 15,Juventus,J. Cancelo,Titular,,0,0,0,1,0
Temporada2019,Jornada 15,Juventus,M. De Sciglio,Titular,,0,0,0,0,0
Temporada2019,Jornada 15,Juventus,M. Pjanić,Titular,82,0,1,0,0,0
Temporada2019,Jornada 15,Juventus,B. Matuidi,Titular,,0,0,0,0,0
Temporada2019,Jornada 15,Juventus,R. Bentancur,Titular,,0,1,0,0,0
Temporada2019,Jornada 15,Juventus,C. Ronaldo,Titular,,0,0,0,0,0
Temporada2019,Jornada 15,Juventus,M. Mandžukić,Titular,,1,0,0,0,0
Temporada2019,Jornada 15,Juventus,P. Dybala,Titular,72,0,0,0,0,0
Temporada2019,Jornada 15,Juventus,M. Perin,Suplente,,0,0,0,0,0
Temporada2019,Jornada 15,Juventus,C. Pinsoglio,Suplente,,0,0,0,0,0
Temporada2019,Jornada 15,Juventus,D. Rugani,Suplente,,0,0,0,0,0
Temporada2019,Jornada 15,Juventus,L. Spinazzola,Suplente,,0,0,0,0,0
Temporada2019,Jornada 15,Juventus,E. Can,Suplente,82,0,0,0,0,0
Temporada2019,Jornada 15,Juventus,F. Bernardeschi,Suplente,,0,0,0,0,0
Temporada2019,Jornada 15,Juventus,D. Costa,Suplente,72,0,0,0,0,0
Temporada2019,Jornada 15,Juventus,J. Cuadrado,Suplente,,0,0,0,0,0
Temporada2019,Jornada 15,Inter,S. Handanovič,Titular,,0,0,0,0,0
Temporada2019,Jornada 15,Inter,J. Miranda,Titular,,0,0,0,0,0
Temporada2019,Jornada 15,Inter,M. Škriniar,Titular,,0,0,0,0,0
Temporada2019,Jornada 15,Inter,Š. Vrsaljko,Titular,,0,0,0,0,0
Temporada2019,Jornada 15,Inter,K. Asamoah,Titular,,0,0,0,0,0
Temporada2019,Jornada 15,Inter,M. Brozović,Titular,,0,1,0,0,0
Temporada2019,Jornada 15,Inter,Joao Mario,Titular,77,0,0,0,0,0
Temporada2019,Jornada 15,Inter,R. Gagliardini,Titular,69,0,0,0,0,0
Temporada2019,Jornada 15,Inter,I. Perišić,Titular,,0,1,0,0,0
Temporada2019,Jornada 15,Inter,M. Icardi,Titular,,0,0,0,0,0
Temporada2019,Jornada 15,Inter,M. Politano,Titular,58,0,0,0,0,0
Temporada2019,Jornada 15,Inter,D. Padelli,Suplente,,0,0,0,0,0
Temporada2019,Jornada 15,Inter,S. De Vrij,Suplente,,0,0,0,0,0
Temporada2019,Jornada 15,Inter,A. Ranocchia,Suplente,,0,0,0,0,0
Temporada2019,Jornada 15,Inter,D. D'Ambrosio,Suplente,,0,0,0,0,0
Temporada2019,Jornada 15,Inter,Borja Valero,Suplente,58,0,0,0,0,0
Temporada2019,Jornada 15,Inter,M. Vecino,Suplente,,0,0,0,0,0
Temporada2019,Jornada 15,Inter,A. Candreva,Suplente,,0,0,0,0,0
Temporada2019,Jornada 15,Inter,K. Baldé,Suplente,69,0,0,0,0,0
Temporada2019,Jornada 15,Inter,Lautaro Martinez,Suplente,77,0,0,0,0,0
Temporada2019,Jornada 37,Juventus,W. Szczęsny,Titular,,0,0,0,0,0
Temporada2019,Jornada 37,Juventus,L. Bonucci,Titular,,0,0,0,0,0
Temporada2019,Jornada 37,Juventus,A. Barzagli,Titular,61,0,0,0,0,0
Temporada2019,Jornada 37,Juventus,Alex Sandro,Titular,46,0,1,0,0,0
Temporada2019,Jornada 37,Juventus,J. Cancelo,Titular,,0,0,0,0,0
Temporada2019,Jornada 37,Juventus,M. Pjanić,Titular,,0,0,0,0,0
Temporada2019,Jornada 37,Juventus,E. Can,Titular,,0,0,0,0,0
Temporada2019,Jornada 37,Juventus,B. Matuidi,Titular,85,0,1,0,0,0
Temporada2019,Jornada 37,Juventus,J. Cuadrado,Titular,,0,0,0,1,0
Temporada2019,Jornada 37,Juventus,C. Ronaldo,Titular,,0,1,0,0,0
Temporada2019,Jornada 37,Juventus,P. Dybala,Titular,,0,0,0,0,0
Temporada2019,Jornada 37,Juventus,C. Pinsoglio,Suplente,,0,0,0,0,0
Temporada2019,Jornada 37,Juventus,M. Del Favero,Suplente,,0,0,0,0,0
Temporada2019,Jornada 37,Juventus,L. Spinazzola,Suplente,,0,0,0,0,0
Temporada2019,Jornada 37,Juventus,G. Chiellini,Suplente,,0,0,0,0,0
Temporada2019,Jornada 37,Juventus,M. Cáceres,Suplente,,0,0,0,0,0
Temporada2019,Jornada 37,Juventus,D. Rugani,Suplente,,0,0,0,0,0
Temporada2019,Jornada 37,Juventus,M. De Sciglio,Suplente,,0,0,0,0,0
Temporada2019,Jornada 37,Juventus,R. Bentancur,Suplente,,0,0,0,0,0
Temporada2019,Jornada 37,Juventus,F. Bernardeschi,Suplente,46,0,0,1,0,0
Temporada2019,Jornada 37,Juventus,M. Mandžukić,Suplente,61,1,0,0,0,0
Temporada2019,Jornada 37,Juventus,H. Caviglia,Suplente,,0,0,0,0,0
Temporada2019,Jornada 37,Juventus,M. Kean,Suplente,85,0,0,0,0,0
Temporada2019,Jornada 37,Atalanta,P. Gollini,Titular,,0,0,0,0,0
Temporada2019,Jornada 37,Atalanta,B. Djimsiti,Titular,,0,0,0,0,0
Temporada2019,Jornada 37,Atalanta,A. Masiello,Titular,,0,0,0,1,0
Temporada2019,Jornada 37,Atalanta,H. Hateboer,Titular,,0,1,0,0,0
Temporada2019,Jornada 37,Atalanta,R. Gosens,Titular,62,0,0,0,0,0
Temporada2019,Jornada 37,Atalanta,T. Castagne,Titular,,0,0,0,0,0
Temporada2019,Jornada 37,Atalanta,R. Freuler,Titular,,0,0,0,0,0
Temporada2019,Jornada 37,Atalanta,M. De Roon,Titular,,0,0,0,0,0
Temporada2019,Jornada 37,Atalanta,A. Gómez,Titular,74,0,0,0,0,0
Temporada2019,Jornada 37,Atalanta,D. Zapata,Titular,,0,0,0,0,0
Temporada2019,Jornada 37,Atalanta,J. Iličić,Titular,78,1,0,0,0,0
Temporada2019,Jornada 37,Atalanta,F. Rossi,Suplente,,0,0,0,0,0
Temporada2019,Jornada 37,Atalanta,E. Berisha,Suplente,,0,0,0,0,0
Temporada2019,Jornada 37,Atalanta,G. Mancini,Suplente,62,0,0,0,0,0
Temporada2019,Jornada 37,Atalanta,A. Reca,Suplente,,0,0,0,0,0
Temporada2019,Jornada 37,Atalanta,Ibañez,Suplente,,0,0,0,0,0
Temporada2019,Jornada 37,Atalanta,M. Pessina,Suplente,,0,0,0,0,0
Temporada2019,Jornada 37,Atalanta,M. Pašalić,Suplente,74,0,0,0,0,0
Temporada2019,Jornada 37,Atalanta,M. Barrow,Suplente,78,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,W. Szczęsny,Titular,,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,G. Chiellini,Titular,,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,L. Bonucci,Titular,,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,Alex Sandro,Titular,,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,M. De Sciglio,Titular,,0,0,0,1,0
Temporada2019,Jornada 17,Juventus,M. Pjanić,Titular,71,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,B. Matuidi,Titular,,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,R. Bentancur,Titular,,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,C. Ronaldo,Titular,,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,M. Mandžukić,Titular,,1,0,0,0,0
Temporada2019,Jornada 17,Juventus,P. Dybala,Titular,80,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,M. Perin,Suplente,,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,C. Pinsoglio,Suplente,,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,D. Rugani,Suplente,,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,L. Spinazzola,Suplente,,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,E. Can,Suplente,71,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,S. Khedira,Suplente,,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,M. Kean,Suplente,,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,D. Costa,Suplente,80,0,0,0,0,0
Temporada2019,Jornada 17,Juventus,F. Bernardeschi,Suplente,,0,0,0,0,0
Temporada2019,Jornada 17,Roma,R. Olsen,Titular,,0,0,0,0,0
Temporada2019,Jornada 17,Roma,F. Fazio,Titular,,0,0,0,0,0
Temporada2019,Jornada 17,Roma,K. Manolas,Titular,,0,0,0,0,0
Temporada2019,Jornada 17,Roma,A. Kolarov,Titular,,0,0,0,0,0
Temporada2019,Jornada 17,Roma,D. Santon,Titular,,0,0,0,0,0
Temporada2019,Jornada 17,Roma,A. Florenzi,Titular,46,0,0,0,0,0
Temporada2019,Jornada 17,Roma,S. N'zonzi,Titular,79,0,1,0,0,0
Temporada2019,Jornada 17,Roma,N. Zaniolo,Titular,,0,1,0,0,0
Temporada2019,Jornada 17,Roma,B. Cristante,Titular,,0,0,0,0,0
Temporada2019,Jornada 17,Roma,P. Schick,Titular,,0,1,0,0,0
Temporada2019,Jornada 17,Roma,C. Under,Titular,71,0,0,0,0,0
Temporada2019,Jornada 17,Roma,D. Fuzato,Suplente,,0,0,0,0,0
Temporada2019,Jornada 17,Roma,A. Mirante,Suplente,,0,0,0,0,0
Temporada2019,Jornada 17,Roma,I. Marcano,Suplente,,0,0,0,0,0
Temporada2019,Jornada 17,Roma,Juan Jesus,Suplente,,0,0,0,0,0
Temporada2019,Jornada 17,Roma,R. Karsdorp,Suplente,,0,0,0,0,0
Temporada2019,Jornada 17,Roma,J. Pastore,Suplente,,0,0,0,0,0
Temporada2019,Jornada 17,Roma,E. Džeko,Suplente,79,0,0,0,0,0
Temporada2019,Jornada 17,Roma,D. Perotti,Suplente,71,0,0,0,0,0
Temporada2019,Jornada 17,Roma,J. Kluivert,Suplente,46,0,0,0,0,0
Temporada2019,Jornada 7,Juventus,W. Szczęsny,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Juventus,G. Chiellini,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Juventus,L. Bonucci,Titular,,1,1,0,0,0
Temporada2019,Jornada 7,Juventus,Alex Sandro,Titular,,0,1,0,0,0
Temporada2019,Jornada 7,Juventus,J. Cancelo,Titular,,0,1,0,0,0
Temporada2019,Jornada 7,Juventus,M. Pjanić,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Juventus,B. Matuidi,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Juventus,E. Can,Titular,62,0,0,0,0,0
Temporada2019,Jornada 7,Juventus,C. Ronaldo,Titular,,0,0,0,2,0
Temporada2019,Jornada 7,Juventus,M. Mandžukić,Titular,84,2,0,0,0,0
Temporada2019,Jornada 7,Juventus,P. Dybala,Titular,64,0,0,0,0,0
Temporada2019,Jornada 7,Juventus,M. Perin,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Juventus,C. Pinsoglio,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Juventus,D. Rugani,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Juventus,A. Barzagli,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Juventus,R. Bentancur,Suplente,62,0,0,0,0,0
Temporada2019,Jornada 7,Juventus,J. Cuadrado,Suplente,84,0,0,0,0,0
Temporada2019,Jornada 7,Juventus,F. Bernardeschi,Suplente,64,0,0,0,0,0
Temporada2019,Jornada 7,Juventus,M. Kean,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Napoli,D. Ospina,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Napoli,K. Koulibaly,Titular,,0,1,0,0,0
Temporada2019,Jornada 7,Napoli,R. Albiol,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Napoli,M. Rui,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Napoli,E. Hysaj,Titular,,0,1,0,0,0
Temporada2019,Jornada 7,Napoli,P. Zielinski,Titular,61,0,0,0,0,0
Temporada2019,Jornada 7,Napoli,M. Hamšík,Titular,70,0,0,0,0,0
Temporada2019,Jornada 7,Napoli,Allan,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Napoli,L. Insigne,Titular,,0,1,0,0,0
Temporada2019,Jornada 7,Napoli,D. Mertens,Titular,61,1,0,0,0,0
Temporada2019,Jornada 7,Napoli,J. Callejón,Titular,,0,0,0,1,0
Temporada2019,Jornada 7,Napoli,Alessandro D'andrea,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Napoli,O. Karnezis,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Napoli,S. Luperto,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Napoli,K. Malcuit,Suplente,61,0,0,0,0,0
Temporada2019,Jornada 7,Napoli,N. Maksimovic,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Napoli,Fabián,Suplente,70,0,0,0,0,0
Temporada2019,Jornada 7,Napoli,A. Diawara,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Napoli,S. Verdi,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Napoli,A. Milik,Suplente,61,0,0,0,0,0
Temporada2019,Jornada 7,Napoli,A. Ounas,Suplente,,0,0,0,0,0
Temporada2019,Jornada 31,Juventus,W. Szczęsny,Titular,,0,0,0,0,0
Temporada2019,Jornada 31,Juventus,L. Bonucci,Titular,,0,0,0,0,0
Temporada2019,Jornada 31,Juventus,D. Rugani,Titular,,0,0,0,0,0
Temporada2019,Jornada 31,Juventus,M. De Sciglio,Titular,,0,0,0,0,0
Temporada2019,Jornada 31,Juventus,Alex Sandro,Titular,,0,0,0,0,0
Temporada2019,Jornada 31,Juventus,L. Spinazzola,Titular,61,0,0,0,0,0
Temporada2019,Jornada 31,Juventus,E. Can,Titular,25,0,0,0,0,1
Temporada2019,Jornada 31,Juventus,R. Bentancur,Titular,,0,0,0,0,0
Temporada2019,Jornada 31,Juventus,F. Bernardeschi,Titular,,0,1,0,0,0
Temporada2019,Jornada 31,Juventus,M. Mandžukić,Titular,,0,1,0,0,0
Temporada2019,Jornada 31,Juventus,P. Dybala,Titular,66,1,0,0,0,0
Temporada2019,Jornada 31,Juventus,M. Del Favero,Suplente,,0,0,0,0,0
Temporada2019,Jornada 31,Juventus,C. Pinsoglio,Suplente,,0,0,0,0,0
Temporada2019,Jornada 31,Juventus,J. Cancelo,Suplente,,0,0,0,0,0
Temporada2019,Jornada 31,Juventus,G. Chiellini,Suplente,,0,0,0,0,0
Temporada2019,Jornada 31,Juventus,M. Pjanić,Suplente,61,0,0,0,1,0
Temporada2019,Jornada 31,Juventus,S. Khedira,Suplente,25,0,0,0,0,0
Temporada2019,Jornada 31,Juventus,B. Matuidi,Suplente,,0,0,0,0,0
Temporada2019,Jornada 31,Juventus,H. Caviglia,Suplente,,0,0,0,0,0
Temporada2019,Jornada 31,Juventus,M. Kean,Suplente,66,1,0,0,0,0
Temporada2019,Jornada 31,Milan,J. Reina,Titular,,0,0,0,0,0
Temporada2019,Jornada 31,Milan,A. Romagnoli,Titular,,0,0,0,0,0
Temporada2019,Jornada 31,Milan,M. Musacchio,Titular,,0,1,0,0,0
Temporada2019,Jornada 31,Milan,R. Rodriguez,Titular,,0,0,0,0,0
Temporada2019,Jornada 31,Milan,D. Calabria,Titular,84,0,0,0,0,0
Temporada2019,Jornada 31,Milan,T. Bakayoko,Titular,,0,0,0,1,0
Temporada2019,Jornada 31,Milan,H. Çalhanoğlu,Titular,,0,1,0,0,0
Temporada2019,Jornada 31,Milan,F. Kessié,Titular,,0,0,0,0,0
Temporada2019,Jornada 31,Milan,F. Borini,Titular,,0,0,0,0,0
Temporada2019,Jornada 31,Milan,K. Piatek,Titular,,1,0,0,0,0
Temporada2019,Jornada 31,Milan,Suso,Titular,76,0,0,0,0,0
Temporada2019,Jornada 31,Milan,A. Donnarumma,Suplente,,0,0,0,0,0
Temporada2019,Jornada 31,Milan,M. Soncin,Suplente,,0,0,0,0,0
Temporada2019,Jornada 31,Milan,I. Abate,Suplente,,0,0,0,0,0
Temporada2019,Jornada 31,Milan,M. Caldara,Suplente,,0,0,0,0,0
Temporada2019,Jornada 31,Milan,C. Zapata,Suplente,,0,0,0,0,0
Temporada2019,Jornada 31,Milan,I. Strinic,Suplente,,0,0,0,0,0
Temporada2019,Jornada 31,Milan,J. Mauri,Suplente,,0,0,0,0,0
Temporada2019,Jornada 31,Milan,D. Laxalt,Suplente,,0,0,0,0,0
Temporada2019,Jornada 31,Milan,A. Bertolacci,Suplente,,0,0,0,0,0
Temporada2019,Jornada 31,Milan,L. Biglia,Suplente,,0,0,0,0,0
Temporada2019,Jornada 31,Milan,S. Castillejo,Suplente,76,0,0,0,0,0
Temporada2019,Jornada 31,Milan,P. Cutrone,Suplente,84,0,0,0,0,0
Temporada2019,Jornada 29,Juventus,W. Szczęsny,Titular,,0,0,0,0,0
Temporada2019,Jornada 29,Juventus,G. Chiellini,Titular,,0,0,0,0,0
Temporada2019,Jornada 29,Juventus,D. Rugani,Titular,,0,0,0,0,0
Temporada2019,Jornada 29,Juventus,Alex Sandro,Titular,61,0,0,0,0,0
Temporada2019,Jornada 29,Juventus,J. Cancelo,Titular,,0,0,0,0,0
Temporada2019,Jornada 29,Juventus,M. Pjanić,Titular,,0,0,0,0,0
Temporada2019,Jornada 29,Juventus,E. Can,Titular,,0,0,0,0,0
Temporada2019,Jornada 29,Juventus,B. Matuidi,Titular,69,0,0,0,0,0
Temporada2019,Jornada 29,Juventus,R. Bentancur,Titular,,0,0,0,0,0
Temporada2019,Jornada 29,Juventus,F. Bernardeschi,Titular,84,0,0,0,0,0
Temporada2019,Jornada 29,Juventus,M. Mandžukić,Titular,,0,0,0,1,0
Temporada2019,Jornada 29,Juventus,C. Pinsoglio,Suplente,,0,0,0,0,0
Temporada2019,Jornada 29,Juventus,M. Perin,Suplente,,0,0,0,0,0
Temporada2019,Jornada 29,Juventus,L. Spinazzola,Suplente,61,0,0,0,0,0
Temporada2019,Jornada 29,Juventus,L. Bonucci,Suplente,,0,0,0,0,0
Temporada2019,Jornada 29,Juventus,M. Cáceres,Suplente,84,0,0,0,0,0
Temporada2019,Jornada 29,Juventus,M. De Sciglio,Suplente,,0,0,0,0,0
Temporada2019,Jornada 29,Juventus,M. Kean,Suplente,69,1,0,0,0,0
Temporada2019,Jornada 29,Juventus,H. Caviglia,Suplente,,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,B. Dragowski,Titular,,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,D. Maietta,Titular,80,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,C. Dell'orco,Titular,,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,F. Veseli,Titular,,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,M. Pajač,Titular,79,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,G. Di Lorenzo,Titular,,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,R. Krunić,Titular,80,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,H. Traore,Titular,,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,I. Bennacer,Titular,,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,F. Caputo,Titular,,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,Diego Farias,Titular,,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,F. Perucchini,Suplente,,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,I. Provedel,Suplente,,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,L. Antonelli,Suplente,,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,D. Nikolaou,Suplente,,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,M. Pasqual,Suplente,80,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,A. Acquah,Suplente,80,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,M. Brighi,Suplente,,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,L. Capezzi,Suplente,,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,S. Uçan,Suplente,79,0,0,0,0,0
Temporada2019,Jornada 29,Empoli,D. Oberlin,Suplente,,0,0,0,0,0
Temporada2019,Jornada 22,Juventus,M. Perin,Titular,,0,0,0,0,0
Temporada2019,Jornada 22,Juventus,D. Rugani,Titular,,1,0,0,0,0
Temporada2019,Jornada 22,Juventus,M. Cáceres,Titular,,0,0,0,0,0
Temporada2019,Jornada 22,Juventus,L. Spinazzola,Titular,,0,0,0,0,0
Temporada2019,Jornada 22,Juventus,J. Cancelo,Titular,,0,0,0,0,0
Temporada2019,Jornada 22,Juventus,M. Pjanić,Titular,,0,0,0,0,0
Temporada2019,Jornada 22,Juventus,B. Matuidi,Titular,,0,0,0,1,0
Temporada2019,Jornada 22,Juventus,S. Khedira,Titular,79,0,0,0,0,0
Temporada2019,Jornada 22,Juventus,C. Ronaldo,Titular,,2,0,0,1,0
Temporada2019,Jornada 22,Juventus,M. Mandžukić,Titular,,0,1,0,1,0
Temporada2019,Jornada 22,Juventus,D. Costa,Titular,46,0,0,0,0,0
Temporada2019,Jornada 22,Juventus,C. Pinsoglio,Suplente,,0,0,0,0,0
Temporada2019,Jornada 22,Juventus,W. Szczęsny,Suplente,,0,0,0,0,0
Temporada2019,Jornada 22,Juventus,M. De Sciglio,Suplente,,0,0,0,0,0
Temporada2019,Jornada 22,Juventus,Alex Sandro,Suplente,,0,0,0,0,0
Temporada2019,Jornada 22,Juventus,R. Bentancur,Suplente,79,0,0,0,0,0
Temporada2019,Jornada 22,Juventus,E. Can,Suplente,86,0,0,0,0,0
Temporada2019,Jornada 22,Juventus,F. Bernardeschi,Suplente,46,0,0,0,0,0
Temporada2019,Jornada 22,Juventus,M. Kean,Suplente,,0,0,0,0,0
Temporada2019,Jornada 22,Juventus,P. Dybala,Suplente,,0,0,0,0,0
Temporada2019,Jornada 22,Parma,L. Sepe,Titular,,0,0,0,0,0
Temporada2019,Jornada 22,Parma,A. Bastoni,Titular,,0,0,0,0,0
Temporada2019,Jornada 22,Parma,B. Alves,Titular,,0,0,0,0,0
Temporada2019,Jornada 22,Parma,R. Gagliolo,Titular,,0,0,0,0,0
Temporada2019,Jornada 22,Parma,S. Iacoponi,Titular,,0,0,0,0,0
Temporada2019,Jornada 22,Parma,M. Scozzarella,Titular,76,0,1,0,0,0
Temporada2019,Jornada 22,Parma,A. Barillà,Titular,,1,1,0,0,0
Temporada2019,Jornada 22,Parma,J. Kucka,Titular,86,0,0,0,2,0
Temporada2019,Jornada 22,Parma,Y. Gervinho,Titular,,2,0,0,0,0
Temporada2019,Jornada 22,Parma,R. Inglese,Titular,,0,0,0,1,0
Temporada2019,Jornada 22,Parma,J. Biabiany,Titular,57,0,0,0,0,0
Temporada2019,Jornada 22,Parma,F. Bagheria,Suplente,,0,0,0,0,0
Temporada2019,Jornada 22,Parma,P. Frattali,Suplente,,0,0,0,0,0
Temporada2019,Jornada 22,Parma,M. Gazzola,Suplente,,0,0,0,0,0
Temporada2019,Jornada 22,Parma,F. Dimarco,Suplente,,0,0,0,0,0
Temporada2019,Jornada 22,Parma,M. Gobbi,Suplente,,0,0,0,0,0
Temporada2019,Jornada 22,Parma,Pepin,Suplente,,0,0,0,0,0
Temporada2019,Jornada 22,Parma,L. Štulac,Suplente,76,0,0,0,0,0
Temporada2019,Jornada 22,Parma,J. Dezi,Suplente,,0,0,0,0,0
Temporada2019,Jornada 22,Parma,M. Sprocati,Suplente,86,0,0,0,0,0
Temporada2019,Jornada 22,Parma,L. Siligardi,Suplente,57,0,0,0,0,0
Temporada2019,Jornada 22,Parma,Carl Davordzie,Suplente,,0,0,0,0,0
Temporada2019,Jornada 22,Parma,F. Ceravolo,Suplente,,0,0,0,0,0
Temporada2019,Jornada 6,Juventus,M. Perin,Titular,,0,0,0,0,0
