plantilla_temporada,plantilla_equipo,plantilla_dorsal,plantilla_foto,plantilla_name,plantilla_posicion,plantilla_edad,plantilla_pais,plantilla_altura,plantilla_peso,plantilla_goles,plantilla_rojas,plantilla_amarillas
Temporada2019,Juventus,21,https://thumb.resfu.com/img_data/players/medium/115935.jpg?size=60x&5,C. Pinsoglio,Portero,30,https://thumb.resfu.com/media/img/1px.gif,188,77,0,0,0
Temporada2019,Juventus,32,https://thumb.resfu.com/img_data/players/medium/277254.jpg?size=60x&5,M. Del Favero,Portero,21,https://thumb.resfu.com/media/img/1px.gif,190,84,0,0,0
Temporada2019,Juventus,22,https://thumb.resfu.com/img_data/players/medium/88280.jpg?size=60x&5,M. Perin,Portero,27,https://thumb.resfu.com/media/img/1px.gif,188,74,0,0,1
Temporada2019,Juventus,1,https://thumb.resfu.com/img_data/players/medium/35491.jpg?size=60x&5,W. Szczęsny,Portero,29,https://thumb.resfu.com/media/img/1px.gif,195,80,0,0,0
Temporada2019,Juventus,15,https://thumb.resfu.com/img_data/players/medium/795.jpg?size=60x&5,A. Barzagli,Defensa,38,https://thumb.resfu.com/media/img/1px.gif,186,79,0,0,0
Temporada2019,Juventus,12,https://thumb.resfu.com/img_data/players/medium/64492.jpg?size=60x&5,Alex Sandro,Defensa,29,https://thumb.resfu.com/media/img/1px.gif,181,80,1,0,7
Temporada2019,Juventus,24,https://thumb.resfu.com/img_data/players/medium/195235.jpg?size=60x&5,D. Rugani,Defensa,25,https://thumb.resfu.com/media/img/1px.gif,188,78,2,0,3
Temporada2019,Juventus,3,https://thumb.resfu.com/img_data/players/medium/822.jpg?size=60x&5,G. Chiellini,Defensa,35,https://thumb.resfu.com/media/img/1px.gif,186,76,1,0,3
Temporada2019,Juventus,20,https://thumb.resfu.com/img_data/players/medium/218414.jpg?size=60x&5,J. Cancelo,Defensa,25,https://thumb.resfu.com/media/img/1px.gif,182,66,1,0,6
Temporada2019,Juventus,19,https://thumb.resfu.com/img_data/players/medium/44556.jpg?size=60x&5,L. Bonucci,Defensa,32,https://thumb.resfu.com/media/img/1px.gif,190,82,3,0,2
Temporada2019,Juventus,38,https://thumb.resfu.com/img_data/players/medium/285658.jpg?size=60x&5,L. Coccolo,Defensa,22,https://thumb.resfu.com/media/img/1px.gif,187,78,0,0,0
Temporada2019,Juventus,37,https://thumb.resfu.com/img_data/players/medium/143275.jpg?size=60x&5,L. Spinazzola,Defensa,26,https://thumb.resfu.com/media/img/1px.gif,186,73,0,0,0
Temporada2019,Juventus,4,https://thumb.resfu.com/img_data/players/medium/29937.jpg?size=60x&5,M. Cáceres,Defensa,32,https://thumb.resfu.com/media/img/1px.gif,178,75,0,0,1
Temporada2019,Juventus,2,https://thumb.resfu.com/img_data/players/medium/125292.jpg?size=60x&5,M. De Sciglio,Defensa,27,https://thumb.resfu.com/media/img/1px.gif,181,68,0,0,2
Temporada2019,Juventus,43,https://thumb.resfu.com/img_data/players/medium/427062.jpg?size=60x&5,P. Gozzi,Defensa,18,https://thumb.resfu.com/media/img/1px.gif,180,-,0,0,0
Temporada2019,Juventus,14,https://thumb.resfu.com/img_data/players/medium/687.jpg?size=60x&5,B. Matuidi,Centrocampista,32,https://thumb.resfu.com/media/img/1px.gif,180,70,3,0,5
Temporada2019,Juventus,23,https://thumb.resfu.com/img_data/players/medium/141779.jpg?size=60x&5,E. Can,Centrocampista,26,https://thumb.resfu.com/media/img/1px.gif,184,82,4,0,6
Temporada2019,Juventus,39,https://thumb.resfu.com/img_data/players/medium/235187.jpg?size=60x&5,G. Kastanos,Centrocampista,22,https://thumb.resfu.com/media/img/1px.gif,176,71,0,0,0
Temporada2019,Juventus,5,https://thumb.resfu.com/img_data/players/medium/3270.jpg?size=60x&5,M. Pjanić,Centrocampista,29,https://thumb.resfu.com/media/img/1px.gif,180,68,2,1,7
Temporada2019,Juventus,34,https://thumb.resfu.com/img_data/players/medium/367971.jpg?size=60x&5,M. Portanova,Centrocampista,19,https://thumb.resfu.com/media/img/1px.gif,182,72,0,0,1
Temporada2019,Juventus,35,https://thumb.resfu.com/img_data/players/medium/278498.jpg?size=60x&5,Matheus Pereira,Centrocampista,22,https://thumb.resfu.com/media/img/1px.gif,181,68,0,0,0
Temporada2019,Juventus,30,https://thumb.resfu.com/img_data/players/medium/248693.jpg?size=60x&5,R. Bentancur,Centrocampista,22,https://thumb.resfu.com/media/img/1px.gif,187,73,2,1,9
Temporada2019,Juventus,6,https://thumb.resfu.com/img_data/players/medium/2092.jpg?size=60x&5,S. Khedira,Centrocampista,32,https://thumb.resfu.com/media/img/1px.gif,189,83,2,0,0
Temporada2019,Juventus,36,https://thumb.resfu.com/img_data/players/medium/285654.jpg?size=60x&5,S. Muratore,Centrocampista,21,https://thumb.resfu.com/media/img/1px.gif,186,74,0,0,0
Temporada2019,Juventus,7,https://thumb.resfu.com/img_data/players/medium/28185.jpg?size=60x&5,C. Ronaldo,Delantero,35,https://thumb.resfu.com/media/img/1px.gif,186,75,21,0,3
Temporada2019,Juventus,11,https://thumb.resfu.com/img_data/players/medium/100587.jpg?size=60x&5,D. Costa,Delantero,29,https://thumb.resfu.com/media/img/1px.gif,172,65,1,1,2
Temporada2019,Juventus,33,https://thumb.resfu.com/img_data/players/medium/201263.jpg?size=60x&5,F. Bernardeschi,Delantero,26,https://thumb.resfu.com/media/img/1px.gif,183,75,2,1,5
Temporada2019,Juventus,41,https://thumb.resfu.com/img_data/players/medium/367967.jpg?size=60x&5,H. Caviglia,Delantero,19,https://thumb.resfu.com/media/img/1px.gif,180,-,0,0,0
Temporada2019,Juventus,16,https://thumb.resfu.com/img_data/players/medium/72085.jpg?size=60x&5,J. Cuadrado,Delantero,31,https://thumb.resfu.com/media/img/1px.gif,179,71,1,0,4
Temporada2019,Juventus,18,https://thumb.resfu.com/img_data/players/medium/307752.jpg?size=60x&5,M. Kean,Delantero,20,https://thumb.resfu.com/media/img/1px.gif,183,79,6,0,2
Temporada2019,Juventus,17,https://thumb.resfu.com/img_data/players/medium/26974.jpg?size=60x&5,M. Mandžukić,Delantero,33,https://thumb.resfu.com/media/img/1px.gif,190,86,9,0,5
Temporada2019,Juventus,10,https://thumb.resfu.com/img_data/players/medium/115525.jpg?size=60x&5,P. Dybala,Delantero,26,https://thumb.resfu.com/media/img/1px.gif,177,69,5,0,2
Temporada2019,Juventus,42,https://thumb.resfu.com/img_data/players/medium/749437.jpg?size=60x&5,Pablo Moreno,Delantero,17,https://thumb.resfu.com/media/img/1px.gif,184,-,0,0,0
Temporada2019,Juventus,40,https://thumb.resfu.com/img_data/players/medium/284633.jpg?size=60x&5,S. Mavididi,Delantero,21,https://thumb.resfu.com/media/img/1px.gif,182,71,0,0,0
Temporada2019,Lazio,90,https://thumb.resfu.com/img_data/players/medium/693257.jpg?size=60x&5,Alessio Furlanetto,Portero,18,https://thumb.resfu.com/media/img/1px.gif,185,-,0,0,0
Temporada2019,Lazio,23,https://thumb.resfu.com/img_data/players/medium/203697.jpg?size=60x&5,G. Guerrieri,Portero,24,https://thumb.resfu.com/media/img/1px.gif,184,78,0,0,0
Temporada2019,Lazio,50,https://thumb.resfu.com/img_data/players/medium/584112.jpg?size=60x&5,Marco Alia,Portero,19,https://thumb.resfu.com/media/img/1px.gif,195,80,0,0,0
Temporada2019,Lazio,24,https://thumb.resfu.com/img_data/players/medium/29668.jpg?size=60x&5,S. Proto,Portero,36,https://thumb.resfu.com/media/img/1px.gif,186,76,0,0,1
Temporada2019,Lazio,1,https://thumb.resfu.com/img_data/players/medium/191151.jpg?size=60x&5,T. Strakosha,Portero,24,https://thumb.resfu.com/media/img/1px.gif,192,80,0,0,4
Temporada2019,Lazio,8,https://thumb.resfu.com/img_data/players/medium/21079.jpg?size=60x&5,D. Basta,Defensa,35,https://thumb.resfu.com/media/img/1px.gif,184,74,0,0,0
Temporada2019,Lazio,33,https://thumb.resfu.com/img_data/players/medium/83656.jpg?size=60x&5,F. Acerbi,Defensa,32,https://thumb.resfu.com/media/img/1px.gif,192,77,3,1,5
Temporada2019,Lazio,5,https://thumb.resfu.com/img_data/players/medium/138637.jpg?size=60x&5,J. Lukaku,Defensa,25,https://thumb.resfu.com/media/img/1px.gif,180,68,0,0,1
